id,label,timeset,degree
3.0,Virgil,,7
21.0,Condorcet,,8
22.0,Vernon,,7
27.0,Cochepaille,,6
41.0,Magloire,,6
7,Baptistine,,9
59.0,Maine,,7
62.0,Montparnasse,,12
67.0,Courfeyrac,,41
75.0,Mademoiselle Gillenormand,,8
88.0,Bigrenaille,,7
5,Monsieur,,57
108.0,Diderot,,8
113.0,Bougival,,7
133.0,Rohan,,6
137.0,Puteaux,,5
156.0,Quand,,7
161.0,Father Mabeuf,,5
163.0,Danton,,12
164.0,Garibaldi,,7
167.0,David,,7
174.0,Plantes,,7
176.0,Grantaire,,21
181.0,Combeferre,,25
200.0,Chenildieu,,6
204.0,Azelma,,8
225.0,Marguerite,,9
2,Madame Magloire,,10
235.0,Lafayette,,12
250.0,Subervic,,7
281.0,Robespierre,,16
284.0,Luxembourg,,8
308.0,Leblanc,,14
310.0,Matelote,,7
319.0,Chatou,,12
323.0,Claquesous,,10
328.0,Bahorel,,17
330.0,Thou,,15
337.0,Javert,,51
339.0,Gibelotte,,7
352.0,Demandait,,6
357.0,Fantine,,27
358.0,Brevet,,10
363.0,Cartouche,,7
368.0,Ballets,,6
4,Marius,,86
394.0,William,,8
398.0,Riego,,6
403.0,Guelemer,,8
404.0,Jardin,,7
407.0,Montfermeil,,19
416.0,Foy,,6
417.0,Lesgle,,11
419.0,Porte,,8
425.0,Halles,,12
431.0,Hougomont,,14
446.0,Lopez,,6
448.0,Vandeleur,,7
455.0,Maire,,12
458.0,Romainville,,8
498.0,Dante,,6
507.0,Marquis,,15
513.0,Corneille,,6
531.0,Monseigneur Bienvenu,,8
539.0,Nicolette,,12
542.0,Durutte,,6
547.0,Basque,,19
548.0,Laffitte,,6
561.0,Corinthe,,11
563.0,Panchaud,,6
573.0,Marengo,,8
581.0,Blondeau,,7
594.0,Charlotte,,8
628.0,Seine,,8
637.0,Baron,,21
641.0,Naples,,8
649.0,Quiot,,11
658.0,Gavroche,,45
663.0,Bolivar,,6
672.0,Lamarque,,9
674.0,Brujon,,15
684.0,La Force,,8
687.0,Marat,,10
0,Valjean,,60
751.0,Nanterre,,7
756.0,Pantin,,8
759.0,Lobau,,14
787.0,Papelotte,,11
790.0,Chelles,,8
812.0,Madeleine,,37
818.0,Mirabeau,,8
823.0,Catherine,,6
828.0,Meaux,,7
832.0,Genappe,,6
839.0,Donzelot,,6
886.0,Genoa,,9
887.0,Descartes,,6
6,Louis,,27
901.0,Toulon,,7
903.0,Hercules,,9
928.0,Mademoiselle,,15
932.0,Champmathieu,,12
938.0,Lark,,10
944.0,Feuilly,,13
946.0,Marais,,8
966.0,Bonaparte,,21
974.0,Charles X.,,6
975.0,Hucheloup,,6
983.0,Cosette,,61
986.0,Manin,,6
1,Father Fauchelevent,,7
1009.0,Napoleon,,55
1011.0,Desmoulins,,7
1012.0,Boulatruelle,,8
1022.0,Brutus,,9
1029.0,Grouchy,,6
1034.0,Plancenoit,,8
1037.0,Assizes,,8
1043.0,Neuilly,,6
1044.0,Orion,,6
1066.0,Arras,,14
1069.0,Enjolras,,39
1071.0,Gillenormand,,34
1075.0,Magnon,,9
1080.0,Dieu,,10
8,John Brown,,6
1084.0,Baronne,,8
1105.0,Prouvaire,,11
1108.0,Austerlitz,,20
1117.0,Voltaire,,22
1132.0,Camille,,7
1137.0,Mame Hucheloup,,7
1138.0,Domon,,7
1154.0,Mabeuf,,23
1163.0,Monseigneur,,17
1175.0,Reille,,8
1191.0,Charlot,,6
1196.0,Jondrette,,24
1199.0,Quai,,6
1206.0,Father Mestienne,,6
1215.0,Ursule,,8
1233.0,Laigle,,18
1239.0,Bossuet,,24
1244.0,Kellermann,,9
1255.0,Philippe,,9
1268.0,Babet,,16
1275.0,Gorbeau,,13
1282.0,Berlin,,10
1285.0,Chanvrerie,,12
1311.0,Homer,,6
